input,output
What is 92 times 62?,5704.
What is the capital of Russia?,The capital of Russia is Moscow.
What is 76 plus 34?,110.
What is 13 times 25?,325.
What is database?,"A database is an organized collection of data, typically accessed and managed via a DBMS."
What is 76 plus 72?,148.
What is the capital of China?,The capital of China is Beijing.
How do I create an array in JavaScript?,"Use brackets: const arr = [1, 2, 3];"
How do I define a function in Python?,"Use def: 

def greet(name):
    return f""Hello, {name}!"""
What is 67 minus 44?,23.
What is 11 minus 12?,-1.
Good evening,Hello! What can I do for you?
Define neuron.,Here’s a concise definition of neuron: a nerve cell that transmits information via electrical and chemical signals
What is the capital of Sweden?,The capital of Sweden is Stockholm.
What is 11 minus 63?,-52.
What is the capital of Finland?,The capital of Finland is Helsinki.
What is 20 plus 70?,90.
What is the capital of Ghana?,The capital of Ghana is Accra.
Yo,Good morning! How can I assist?
What is 87 plus 88?,175.
What is the capital of Czechia?,The capital of Czechia is Prague.
Who wrote '1984'?,George Orwell wrote '1984'.
What is 63 times 65?,4095.
What is 74 times 60?,4440.
How do I print in JavaScript?,"Use console.log(""Hello""); in Node/web console."
What is the capital of Germany?,The capital of Germany is Berlin.
What is the capital of Saudi Arabia?,The capital of Saudi Arabia is Riyadh.
Translate 'hello' into Italian.,“Hello” in Italian is “ciao” (informal) or “salve.”
What is the capital of Romania?,The capital of Romania is Bucharest.
What is the capital of Turkey?,The capital of Turkey is Ankara.
What is the capital of Mexico?,The capital of Mexico is Mexico City.
Explain neuron simply.,neuron in simple terms: a nerve cell that transmits information via electrical and chemical signals
What is the capital of Italy?,The capital of Italy is Rome.
Translate 'good night' into Portuguese.,“Good night” in Portuguese is “boa noite.”
What is the capital of Ireland?,The capital of Ireland is Dublin.
What is 98 times 66?,6468.
What is 13 minus 91?,-78.
What is 29 plus 20?,49.
What is 62 minus 7?,55.
Define gravity.,Here’s a concise definition of gravity: the attractive force between masses
What is 63 minus 25?,38.
What is the capital of Peru?,The capital of Peru is Lima.
Explain database index simply.,database index in simple terms: a data structure that speeds up data retrieval operations
What is 15 minus 5?,10.
What is the capital of New Zealand?,The capital of New Zealand is Wellington.
What is the capital of Bangladesh?,The capital of Bangladesh is Dhaka.
What is the capital of Egypt?,The capital of Egypt is Cairo.
What is the capital of Vietnam?,The capital of Vietnam is Hanoi.
What is 74 plus 31?,105.
Good morning,Hello! What can I do for you?
What is 40 times 89?,3560.
How are you?,Hello! What can I do for you?
What is the capital of Poland?,The capital of Poland is Warsaw.
What is 6 plus 87?,93.
What is the capital of Ethiopia?,The capital of Ethiopia is Addis Ababa.
What is 24 plus 36?,60.
Hello,Hello! What can I do for you?
What is 30 times 46?,1380.
What is 80 plus 61?,141.
What is 89 minus 76?,13.
Explain gravity simply.,gravity in simple terms: the attractive force between masses
What is 46 times 15?,690.
What is H2O commonly called?,H2O is water.
What is 71 times 10?,710.
What is 64 times 50?,3200.
What is the capital of Brazil?,The capital of Brazil is Brasília.
Explain photosynthesis simply.,"photosynthesis in simple terms: plants converting light into chemical energy (glucose), releasing oxygen"
Explain algorithm simply.,"algorithm in simple terms: a finite, step-by-step procedure to solve a problem"
What is 28 minus 88?,-60.
What is 33 minus 34?,-1.
What is 79 minus 28?,51.
What gas do plants mostly absorb for photosynthesis?,Carbon dioxide.
What is the capital of Hungary?,The capital of Hungary is Budapest.
What is 81 plus 81?,162.
What is 63 minus 47?,16.
What is the capital of India?,The capital of India is New Delhi.
What is algorithm?,An algorithm is a step-by-step procedure for solving a problem or performing a computation.
What is 38 minus 77?,-39.
What is 17 plus 69?,86.
What is the capital of Algeria?,The capital of Algeria is Algiers.
What is 99 times 69?,6831.
What is 28 times 23?,644.
What is the capital of Bulgaria?,The capital of Bulgaria is Sofia.
What is 81 plus 23?,104.
What is 43 plus 23?,66.
What is the capital of Norway?,The capital of Norway is Oslo.
What is 78 minus 23?,55.
What is API?,An API (Application Programming Interface) lets software components communicate using defined requests and responses.
What is 36 times 21?,756.
What is 94 times 61?,5734.
What is 28 plus 87?,115.
What is the capital of Malaysia?,The capital of Malaysia is Kuala Lumpur.
What is 33 plus 85?,118.
